index,Date_Heure,Pression au niveau mer,Variation de pression en 3 heures,Type de tendance barometrique,Direction du vent moyen 10 mn,Vitesse du vent moyen 10 mn,Temperature,Point de rosee,Humidite,Visibilite horizontale,Temps present,Pression station,Rafales sur une periode,Periode de mesure de la rafale,Precipitations dans la derniere heure,Precipitations dans les 3 dernieres heures,Temperature (C),consommation,datehour,datemonth
7539,1/1/2013 4:00,101480,-230,6,80,4.6,282.55,280.85,89,25000,2,101380,9.3,-10,0,0,9.4,27896,4,1
9744,1/1/2013 7:00,101420,-60,5,10,4.6,282.05,280.45,90,25000,2,101320,6.2,-10,0,0,8.9,24316,7,1
7551,1/1/2013 10:00,101520,100,3,350,4.6,282.25,280.35,88,25000,2,101420,6.7,-10,0,0,9.1,24546,10,1
114124,1/1/2013 13:00,101520,0,0,350,5.1,283.85,280.95,82,25000,2,101420,7.2,-10,0,0,10.7,27431,13,1
7566,1/1/2013 16:00,101520,0,5,40,1.5,283.65,281.45,86,25000,2,101420,2.6,-10,0,0,10.5,26963,16,1
7571,1/1/2013 19:00,101610,90,2,260,0.5,279.85,278.65,92,10000,2,101510,1.5,-10,0,0,6.7,28281,19,1
25249,1/1/2013 22:00,101690,80,3,50,1,280.15,279.05,93,6000,2,101590,3.6,-10,0,0,7,29981,22,1
115596,1/2/2013 1:00,102460,-90,8,280,5.1,286.35,279.25,62,55000,0,102360,8.2,-10,0,0,13.2,29334,1,1
5897,1/2/2013 4:00,102190,-270,8,310,3.1,285.75,278.85,63,55000,0,102090,5.1,-10,0,0,12.6,24970,4,1
115610,1/2/2013 7:00,101950,-240,6,260,3.1,284.65,279.75,72,50000,2,101850,4.1,-10,0,0,11.5,25010,7,1
115613,1/2/2013 10:00,101810,-140,8,340,1.5,286.45,282.55,77,30000,2,101710,2.1,-10,0,0,13.3,30172,10,1
115622,1/2/2013 13:00,101460,-340,8,280,7.7,291.35,281.05,51,40000,2,101370,13.9,-10,0,0,18.2,29769,13,1
74181,1/2/2013 16:00,101100,-360,6,210,3.1,290.15,282.55,61,50000,2,101010,7.7,-10,0,0,17,27813,16,1
7458,1/2/2013 19:00,100810,-300,6,220,3.6,284.75,282.35,85,30000,2,100710,5.1,-10,0,0,11.6,27987,19,1
8466,1/2/2013 22:00,100460,-350,6,260,3.1,284.45,282.55,88,20000,2,100360,6.2,-10,0,0,11.3,28833,22,1
81555,1/3/2013 1:00,101860,-70,8,10,4.1,279.55,274.85,72,12000,2,101760,5.7,-10,0,0,6.4,35868,1,1
6475,1/3/2013 4:00,101690,-170,6,10,6.7,279.35,272.15,60,8000,3,101590,10.3,-10,0,0,6.2,33502,4,1
11404,1/3/2013 7:00,101610,-80,6,20,6.2,279.05,271.45,58,8000,3,101510,8.7,-10,0,0,5.9,32957,7,1
6486,1/3/2013 10:00,101650,40,0,10,5.7,280.35,271.95,55,8000,2,101550,8.7,-10,0,0,7.2,37962,10,1
7299,1/3/2013 13:00,101600,-50,8,30,3.1,282.15,272.25,50,9000,2,101500,5.7,-10,0,0,9,38345,13,1
11536,1/3/2013 16:00,101470,-130,6,0,0,283.15,272.95,49,10000,2,101370,1,-10,0,0,10,35555,16,1
24416,1/3/2013 19:00,101480,10,3,110,1.5,281.65,274.05,59,7000,2,101380,2.6,-10,0,0,8.5,34076,19,1
24423,1/3/2013 22:00,101640,160,1,20,4.1,279.85,271.15,54,9000,2,101540,8.2,-10,0,0,6.7,36025,22,1
3103,1/4/2013 2:00,100360,-100,7,320,1.5,278.45,271.75,62,10000,0,100260,3.1,-10,0,0,5.3,24463,2,1
1602,1/4/2013 5:00,100190,-170,8,30,4.1,278.85,272.35,63,10000,2,100090,6.2,-10,0,0,5.7,22781,5,1
1605,1/4/2013 8:00,100070,-120,6,20,5.1,279.25,272.25,61,9000,2,99970,7.7,-10,0,0,6.1,24976,8,1
